query_toks_no_value,question,table name
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value']",Return the number of flights arriving in Aberdeen.,"['flights', 'airports']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'join', 'airports', 'as', 't3', 'on', 't1', '.', 'sourceairport', '=', 't3', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value', 'and', 't3', '.', 'city', '=', 'value']",How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?,"['flights', 'airports', 'airports']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'join', 'airports', 'as', 't3', 'on', 't1', '.', 'sourceairport', '=', 't3', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value', 'and', 't3', '.', 'city', '=', 'value']",How many flights fly from Aberdeen to Ashley?,"['flights', 'airports', 'airports']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airlines', 'as', 't2', 'on', 't1', '.', 'airline', '=', 't2', '.', 'uid', 'where', 't2', '.', 'airline', '=', 'value']",How many flights does airline 'JetBlue Airways' have?,"['flights', 'airlines']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airlines', 'as', 't2', 'on', 't1', '.', 'airline', '=', 't2', '.', 'uid', 'where', 't2', '.', 'airline', '=', 'value']",Give the number of Jetblue Airways flights.,"['flights', 'airlines']"
"['select', 'count', '(', '*', ')', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't2', '.', 'airline', '=', 't1', '.', 'uid', 'where', 't1', '.', 'airline', '=', 'value', 'and', 't2', '.', 'destairport', '=', 'value']",How many 'United Airlines' flights go to Airport 'ASY'?,"['airlines', 'flights']"
"['select', 'count', '(', '*', ')', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't2', '.', 'airline', '=', 't1', '.', 'uid', 'where', 't1', '.', 'airline', '=', 'value', 'and', 't2', '.', 'destairport', '=', 'value']",Count the number of United Airlines flights arriving in ASY Airport.,"['airlines', 'flights']"
"['select', 'count', '(', '*', ')', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't2', '.', 'airline', '=', 't1', '.', 'uid', 'where', 't1', '.', 'airline', '=', 'value', 'and', 't2', '.', 'sourceairport', '=', 'value']",How many 'United Airlines' flights depart from Airport 'AHD'?,"['airlines', 'flights']"
"['select', 'count', '(', '*', ')', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't2', '.', 'airline', '=', 't1', '.', 'uid', 'where', 't1', '.', 'airline', '=', 'value', 'and', 't2', '.', 'sourceairport', '=', 'value']",Return the number of United Airlines flights leaving from AHD Airport.,"['airlines', 'flights']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'join', 'airlines', 'as', 't3', 'on', 't3', '.', 'uid', '=', 't1', '.', 'airline', 'where', 't2', '.', 'city', '=', 'value', 'and', 't3', '.', 'airline', '=', 'value']",How many United Airlines flights go to City 'Aberdeen'?,"['flights', 'airports', 'airlines']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'join', 'airlines', 'as', 't3', 'on', 't3', '.', 'uid', '=', 't1', '.', 'airline', 'where', 't2', '.', 'city', '=', 'value', 'and', 't3', '.', 'airline', '=', 'value']",Count the number of United Airlines flights that arrive in Aberdeen.,"['flights', 'airports', 'airlines']"
"['select', 't1', '.', 'city', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'group', 'by', 't1', '.', 'city', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which city has most number of arriving flights?,"['airports', 'flights']"
"['select', 't1', '.', 'city', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'group', 'by', 't1', '.', 'city', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which city has the most frequent destination airport?,"['airports', 'flights']"
"['select', 't1', '.', 'city', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'city', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which city has most number of departing flights?,"['airports', 'flights']"
"['select', 't1', '.', 'city', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'city', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which city is the most frequent source airport?,"['airports', 'flights']"
"['select', 't1', '.', 'airportcode', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'or', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'airportcode', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the code of airport that has the highest number of flights?,"['airports', 'flights']"
"['select', 't1', '.', 'airportcode', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'or', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'airportcode', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the airport code of the airport with the most flights?,"['airports', 'flights']"
"['select', 't1', '.', 'airportcode', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'or', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'airportcode', 'order', 'by', 'count', '(', '*', ')', 'limit', 'value']",What is the code of airport that has fewest number of flights?,"['airports', 'flights']"
"['select', 't1', '.', 'airportcode', 'from', 'airports', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'airportcode', '=', 't2', '.', 'destairport', 'or', 't1', '.', 'airportcode', '=', 't2', '.', 'sourceairport', 'group', 'by', 't1', '.', 'airportcode', 'order', 'by', 'count', '(', '*', ')', 'limit', 'value']",Give the code of the airport with the least flights.,"['airports', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which airline has most number of flights?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What airline serves the most flights?,"['airlines', 'flights']"
"['select', 't1', '.', 'abbreviation', ',', 't1', '.', 'country', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'order', 'by', 'count', '(', '*', ')', 'limit', 'value']",Find the abbreviation and country of the airline that has fewest number of flights?,"['airlines', 'flights']"
"['select', 't1', '.', 'abbreviation', ',', 't1', '.', 'country', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'order', 'by', 'count', '(', '*', ')', 'limit', 'value']",What is the abbreviation of the airilne has the fewest flights and what country is it in?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",What are airlines that have some flight departing from airport 'AHD'?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",Which airlines have a flight with source airport AHD?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'destairport', '=', 'value']",What are airlines that have flights arriving at airport 'AHD'?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'destairport', '=', 'value']",Which airlines have a flight with destination airport AHD?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value', 'intersect', 'select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",Find all airlines that have flights from both airports 'APG' and 'CVO'.,"['airlines', 'flights', 'airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value', 'intersect', 'select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",Which airlines have departing flights from both APG and CVO airports?,"['airlines', 'flights', 'airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value', 'except', 'select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",Find all airlines that have flights from airport 'CVO' but not from 'APG'.,"['airlines', 'flights', 'airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value', 'except', 'select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'where', 't2', '.', 'sourceairport', '=', 'value']",Which airlines have departures from CVO but not from APG airports?,"['airlines', 'flights', 'airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'having', 'count', '(', '*', ')', '>', 'value']",Find all airlines that have at least 10 flights.,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'having', 'count', '(', '*', ')', '>', 'value']",Which airlines have at least 10 flights?,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'having', 'count', '(', '*', ')', '<', 'value']",Find all airlines that have fewer than 200 flights.,"['airlines', 'flights']"
"['select', 't1', '.', 'airline', 'from', 'airlines', 'as', 't1', 'join', 'flights', 'as', 't2', 'on', 't1', '.', 'uid', '=', 't2', '.', 'airline', 'group', 'by', 't1', '.', 'airline', 'having', 'count', '(', '*', ')', '<', 'value']",Which airlines have less than 200 flights?,"['airlines', 'flights']"
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airlines', 'as', 't2', 'on', 't2', '.', 'uid', '=', 't1', '.', 'airline', 'where', 't2', '.', 'airline', '=', 'value']","What are flight numbers of Airline ""United Airlines""?","['flights', 'airlines']"
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airlines', 'as', 't2', 'on', 't2', '.', 'uid', '=', 't1', '.', 'airline', 'where', 't2', '.', 'airline', '=', 'value']",Which flight numbers correspond to United Airlines flights?,"['flights', 'airlines']"
"['select', 'flightno', 'from', 'flights', 'where', 'sourceairport', '=', 'value']","What are flight numbers of flights departing from Airport ""APG""?",['flights']
"['select', 'flightno', 'from', 'flights', 'where', 'sourceairport', '=', 'value']",Give the flight numbers of flights leaving from APG.,['flights']
"['select', 'flightno', 'from', 'flights', 'where', 'destairport', '=', 'value']","What are flight numbers of flights arriving at Airport ""APG""?",['flights']
"['select', 'flightno', 'from', 'flights', 'where', 'destairport', '=', 'value']",Give the flight numbers of flights landing at APG.,['flights']
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'sourceairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value']","What are flight numbers of flights departing from City ""Aberdeen ""?","['flights', 'airports']"
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'sourceairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value']",Give the flight numbers of flights leaving from Aberdeen.,"['flights', 'airports']"
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value']","What are flight numbers of flights arriving at City ""Aberdeen""?","['flights', 'airports']"
"['select', 't1', '.', 'flightno', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value']",Give the flight numbers of flights arriving in Aberdeen.,"['flights', 'airports']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value', 'or', 't2', '.', 'city', '=', 'value']",Find the number of flights landing in the city of Aberdeen or Abilene.,"['flights', 'airports']"
"['select', 'count', '(', '*', ')', 'from', 'flights', 'as', 't1', 'join', 'airports', 'as', 't2', 'on', 't1', '.', 'destairport', '=', 't2', '.', 'airportcode', 'where', 't2', '.', 'city', '=', 'value', 'or', 't2', '.', 'city', '=', 'value']",How many flights land in Aberdeen or Abilene?,"['flights', 'airports']"
"['select', 'airportname', 'from', 'airports', 'where', 'airportcode', 'not', 'in', '(', 'select', 'sourceairport', 'from', 'flights', 'union', 'select', 'destairport', 'from', 'flights', ')']",Find the name of airports which do not have any flight in and out.,"['airports', 'flights', 'flights']"
"['select', 'airportname', 'from', 'airports', 'where', 'airportcode', 'not', 'in', '(', 'select', 'sourceairport', 'from', 'flights', 'union', 'select', 'destairport', 'from', 'flights', ')']",Which airports do not have departing or arriving flights?,"['airports', 'flights', 'flights']"
"['select', 'count', '(', '*', ')', 'from', 'employee']",How many employees are there?,['employee']
"['select', 'count', '(', '*', ')', 'from', 'employee']",Count the number of employees,['employee']
"['select', 'name', 'from', 'employee', 'order', 'by', 'age']",Sort employee names by their age in ascending order.,['employee']
"['select', 'name', 'from', 'employee', 'order', 'by', 'age']",List the names of employees and sort in ascending order of age.,['employee']
"['select', 'count', '(', '*', ')', ',', 'city', 'from', 'employee', 'group', 'by', 'city']",What is the number of employees from each city?,['employee']
"['select', 'count', '(', '*', ')', ',', 'city', 'from', 'employee', 'group', 'by', 'city']",Count the number of employees for each city.,['employee']
"['select', 'city', 'from', 'employee', 'where', 'age', '<', 'value', 'group', 'by', 'city', 'having', 'count', '(', '*', ')', '>', 'value']",Which cities do more than one employee under age 30 come from?,['employee']
"['select', 'city', 'from', 'employee', 'where', 'age', '<', 'value', 'group', 'by', 'city', 'having', 'count', '(', '*', ')', '>', 'value']",Find the cities that have more than one employee under age 30.,['employee']
"['select', 'count', '(', '*', ')', ',', 'location', 'from', 'shop', 'group', 'by', 'location']",Find the number of shops in each location.,['shop']
"['select', 'count', '(', '*', ')', ',', 'location', 'from', 'shop', 'group', 'by', 'location']",How many shops are there in each location?,['shop']
"['select', 'manager_name', ',', 'district', 'from', 'shop', 'order', 'by', 'number_products', 'desc', 'limit', 'value']",Find the manager name and district of the shop whose number of products is the largest.,['shop']
"['select', 'manager_name', ',', 'district', 'from', 'shop', 'order', 'by', 'number_products', 'desc', 'limit', 'value']",What are the manager name and district of the shop that sells the largest number of products?,['shop']
"['select', 'min', '(', 'number_products', ')', ',', 'max', '(', 'number_products', ')', 'from', 'shop']",find the minimum and maximum number of products of all stores.,['shop']
"['select', 'min', '(', 'number_products', ')', ',', 'max', '(', 'number_products', ')', 'from', 'shop']",What are the minimum and maximum number of products across all the shops?,['shop']
"['select', 'name', ',', 'location', ',', 'district', 'from', 'shop', 'order', 'by', 'number_products', 'desc']","Return the name, location and district of all shops in descending order of number of products.",['shop']
"['select', 'name', ',', 'location', ',', 'district', 'from', 'shop', 'order', 'by', 'number_products', 'desc']","Sort all the shops by number products in descending order, and return the name, location and district of each shop.",['shop']
"['select', 'name', 'from', 'shop', 'where', 'number_products', '>', '(', 'select', 'avg', '(', 'number_products', ')', 'from', 'shop', ')']",Find the names of stores whose number products is more than the average number of products.,"['shop', 'shop']"
"['select', 'name', 'from', 'shop', 'where', 'number_products', '>', '(', 'select', 'avg', '(', 'number_products', ')', 'from', 'shop', ')']",Which shops' number products is above the average? Give me the shop names.,"['shop', 'shop']"
"['select', 't1', '.', 'name', 'from', 'employee', 'as', 't1', 'join', 'evaluation', 'as', 't2', 'on', 't1', '.', 'employee_id', '=', 't2', '.', 'employee_id', 'group', 'by', 't2', '.', 'employee_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",find the name of employee who was awarded the most times in the evaluation.,"['employee', 'evaluation']"
"['select', 't1', '.', 'name', 'from', 'employee', 'as', 't1', 'join', 'evaluation', 'as', 't2', 'on', 't1', '.', 'employee_id', '=', 't2', '.', 'employee_id', 'group', 'by', 't2', '.', 'employee_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which employee received the most awards in evaluations? Give me the employee name.,"['employee', 'evaluation']"
"['select', 't1', '.', 'name', 'from', 'employee', 'as', 't1', 'join', 'evaluation', 'as', 't2', 'on', 't1', '.', 'employee_id', '=', 't2', '.', 'employee_id', 'order', 'by', 't2', '.', 'bonus', 'desc', 'limit', 'value']",Find the name of the employee who got the highest one time bonus.,"['employee', 'evaluation']"
"['select', 't1', '.', 'name', 'from', 'employee', 'as', 't1', 'join', 'evaluation', 'as', 't2', 'on', 't1', '.', 'employee_id', '=', 't2', '.', 'employee_id', 'order', 'by', 't2', '.', 'bonus', 'desc', 'limit', 'value']",Which employee received the biggest bonus? Give me the employee name.,"['employee', 'evaluation']"
"['select', 'name', 'from', 'employee', 'where', 'employee_id', 'not', 'in', '(', 'select', 'employee_id', 'from', 'evaluation', ')']",Find the names of employees who never won any award in the evaluation.,"['employee', 'evaluation']"
"['select', 'name', 'from', 'employee', 'where', 'employee_id', 'not', 'in', '(', 'select', 'employee_id', 'from', 'evaluation', ')']",What are the names of the employees who never received any evaluation?,"['employee', 'evaluation']"
"['select', 't2', '.', 'name', 'from', 'hiring', 'as', 't1', 'join', 'shop', 'as', 't2', 'on', 't1', '.', 'shop_id', '=', 't2', '.', 'shop_id', 'group', 'by', 't1', '.', 'shop_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the name of the shop that is hiring the largest number of employees?,"['hiring', 'shop']"
"['select', 't2', '.', 'name', 'from', 'hiring', 'as', 't1', 'join', 'shop', 'as', 't2', 'on', 't1', '.', 'shop_id', '=', 't2', '.', 'shop_id', 'group', 'by', 't1', '.', 'shop_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which shop has the most employees? Give me the shop name.,"['hiring', 'shop']"
"['select', 'name', 'from', 'shop', 'where', 'shop_id', 'not', 'in', '(', 'select', 'shop_id', 'from', 'hiring', ')']",Find the name of the shops that do not hire any employee.,"['shop', 'hiring']"
"['select', 'name', 'from', 'shop', 'where', 'shop_id', 'not', 'in', '(', 'select', 'shop_id', 'from', 'hiring', ')']",Which shops run with no employees? Find the shop names,"['shop', 'hiring']"
"['select', 'count', '(', '*', ')', ',', 't2', '.', 'name', 'from', 'hiring', 'as', 't1', 'join', 'shop', 'as', 't2', 'on', 't1', '.', 'shop_id', '=', 't2', '.', 'shop_id', 'group', 'by', 't2', '.', 'name']",Find the number of employees hired in each shop; show the shop name as well.,"['hiring', 'shop']"
"['select', 'count', '(', '*', ')', ',', 't2', '.', 'name', 'from', 'hiring', 'as', 't1', 'join', 'shop', 'as', 't2', 'on', 't1', '.', 'shop_id', '=', 't2', '.', 'shop_id', 'group', 'by', 't2', '.', 'name']","For each shop, return the number of employees working there and the name of the shop.","['hiring', 'shop']"
"['select', 'sum', '(', 'bonus', ')', 'from', 'evaluation']",What is total bonus given in all evaluations?,['evaluation']
"['select', 'sum', '(', 'bonus', ')', 'from', 'evaluation']",Find the total amount of bonus given in all the evaluations.,['evaluation']
"['select', '*', 'from', 'hiring']",Give me all the information about hiring.,['hiring']
"['select', '*', 'from', 'hiring']",What is all the information about hiring?,['hiring']
"['select', 'district', 'from', 'shop', 'where', 'number_products', '<', 'value', 'intersect', 'select', 'district', 'from', 'shop', 'where', 'number_products', '>', 'value']",Which district has both stores with less than 3000 products and stores with more than 10000 products?,"['shop', 'shop']"
"['select', 'district', 'from', 'shop', 'where', 'number_products', '<', 'value', 'intersect', 'select', 'district', 'from', 'shop', 'where', 'number_products', '>', 'value']",Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,"['shop', 'shop']"
"['select', 'count', '(', 'distinct', 'location', ')', 'from', 'shop']",How many different store locations are there?,['shop']
"['select', 'count', '(', 'distinct', 'location', ')', 'from', 'shop']",Count the number of distinct store locations.,['shop']
"['select', 'count', '(', '*', ')', 'from', 'documents']",How many documents do we have?,['documents']
"['select', 'count', '(', '*', ')', 'from', 'documents']",Count the number of documents.,['documents']
"['select', 'document_id', ',', 'document_name', ',', 'document_description', 'from', 'documents']","List document IDs, document names, and document descriptions for all documents.",['documents']
"['select', 'document_id', ',', 'document_name', ',', 'document_description', 'from', 'documents']","What are the ids, names, and descriptions for all documents?",['documents']
"['select', 'document_name', ',', 'template_id', 'from', 'documents', 'where', 'document_description', 'like', 'value']",What is the document name and template id for document with description with the letter 'w' in it?,['documents']
"['select', 'document_name', ',', 'template_id', 'from', 'documents', 'where', 'document_description', 'like', 'value']",Return the names and template ids for documents that contain the letter w in their description.,['documents']
"['select', 'document_id', ',', 'template_id', ',', 'document_description', 'from', 'documents', 'where', 'document_name', '=', 'value']","What is the document id, template id and description for document named ""Robbin CV""?",['documents']
"['select', 'document_id', ',', 'template_id', ',', 'document_description', 'from', 'documents', 'where', 'document_name', '=', 'value']","Return the document id, template id, and description for the document with the name Robbin CV.",['documents']
"['select', 'count', '(', 'distinct', 'template_id', ')', 'from', 'documents']",How many different templates do all document use?,['documents']
"['select', 'count', '(', 'distinct', 'template_id', ')', 'from', 'documents']",Count the number of different templates used for documents.,['documents']
"['select', 'count', '(', '*', ')', 'from', 'documents', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_id', '=', 't2', '.', 'template_id', 'where', 't2', '.', 'template_type_code', '=', 'value']",How many documents are using the template with type code 'PPT'?,"['documents', 'templates']"
"['select', 'count', '(', '*', ')', 'from', 'documents', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_id', '=', 't2', '.', 'template_id', 'where', 't2', '.', 'template_type_code', '=', 'value']",Count the number of documents that use the PPT template type.,"['documents', 'templates']"
"['select', 'template_id', ',', 'count', '(', '*', ')', 'from', 'documents', 'group', 'by', 'template_id']",Show all template ids and number of documents using each template.,['documents']
"['select', 'template_id', ',', 'count', '(', '*', ')', 'from', 'documents', 'group', 'by', 'template_id']","What are all different template ids used for documents, and how many times were each of them used?",['documents']
"['select', 't1', '.', 'template_id', ',', 't2', '.', 'template_type_code', 'from', 'documents', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_id', '=', 't2', '.', 'template_id', 'group', 'by', 't1', '.', 'template_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the id and type code for the template used by the most documents?,"['documents', 'templates']"
"['select', 't1', '.', 'template_id', ',', 't2', '.', 'template_type_code', 'from', 'documents', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_id', '=', 't2', '.', 'template_id', 'group', 'by', 't1', '.', 'template_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Return the id and type code of the template that is used for the greatest number of documents.,"['documents', 'templates']"
"['select', 'template_id', 'from', 'documents', 'group', 'by', 'template_id', 'having', 'count', '(', '*', ')', '>', 'value']",Show ids for all templates that are used by more than one document.,['documents']
"['select', 'template_id', 'from', 'documents', 'group', 'by', 'template_id', 'having', 'count', '(', '*', ')', '>', 'value']",What are the template ids of any templates used in more than a single document?,['documents']
"['select', 'template_id', 'from', 'templates', 'except', 'select', 'template_id', 'from', 'documents']",Show ids for all templates not used by any document.,"['templates', 'documents']"
"['select', 'template_id', 'from', 'templates', 'except', 'select', 'template_id', 'from', 'documents']",What are the ids for templates that are not used in any documents?,"['templates', 'documents']"
"['select', 'count', '(', '*', ')', 'from', 'templates']",How many templates do we have?,['templates']
"['select', 'count', '(', '*', ')', 'from', 'templates']",Count the number of templates.,['templates']
"['select', 'template_id', ',', 'version_number', ',', 'template_type_code', 'from', 'templates']","Show template ids, version numbers, and template type codes for all templates.",['templates']
"['select', 'template_id', ',', 'version_number', ',', 'template_type_code', 'from', 'templates']","What are the ids, version numbers, and type codes for each template?",['templates']
"['select', 'distinct', 'template_type_code', 'from', 'templates']",Show all distinct template type codes for all templates.,['templates']
"['select', 'distinct', 'template_type_code', 'from', 'templates']",What are the different template type codes?,['templates']
"['select', 'template_id', 'from', 'templates', 'where', 'template_type_code', '=', 'value', 'or', 'template_type_code', '=', 'value']",What are the ids of templates with template type code PP or PPT?,['templates']
"['select', 'template_id', 'from', 'templates', 'where', 'template_type_code', '=', 'value', 'or', 'template_type_code', '=', 'value']",Return the ids of templates that have the code PP or PPT.,['templates']
