Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
TypesCell (biology),linearized_column_wise,1,"Index([417], dtype='int64')",[417],precision@1: 1.0,"[[{'corpus_id': 417, 'score': 0.19263747334480286}]]",454
USB power standards USB,linearized_column_wise,1,"Index([426], dtype='int64')",[426],precision@1: 1.0,"[[{'corpus_id': 426, 'score': 0.18762218952178955}]]",454
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,linearized_column_wise,1,"Index([453], dtype='int64')",[88],precision@1: 0.0,"[[{'corpus_id': 88, 'score': 0.09820471704006195}]]",454
VersionsJava (programming language),linearized_column_wise,1,"Index([429], dtype='int64')",[429],precision@1: 1.0,"[[{'corpus_id': 429, 'score': 0.1739499866962433}]]",454
Wi-Fi generationsvte Wi-Fi,linearized_column_wise,1,"Index([428], dtype='int64')",[428],precision@1: 1.0,"[[{'corpus_id': 428, 'score': 0.2152450680732727}]]",454
artists,linearized_row_wise,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 1, 0, 2, 3]",precision@5: 1.0,"[[{'corpus_id': 4, 'score': 0.18610133230686188}, {'corpus_id': 1, 'score': 0.16665911674499512}, {'corpus_id': 0, 'score': 0.1526997834444046}, {'corpus_id': 2, 'score': 0.13220292329788208}, {'corpus_id': 3, 'score': 0.08452427387237549}]]",454
playlists,linearized_row_wise,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]",precision@5: 1.0,"[[{'corpus_id': 8, 'score': 0.2639627456665039}, {'corpus_id': 6, 'score': 0.2449408322572708}, {'corpus_id': 7, 'score': 0.22830569744110107}, {'corpus_id': 5, 'score': 0.19796784222126007}, {'corpus_id': 9, 'score': 0.1542983055114746}]]",454
chip_model,linearized_row_wise,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]",precision@5: 1.0,"[[{'corpus_id': 11, 'score': 0.38194796442985535}, {'corpus_id': 12, 'score': 0.3699852228164673}, {'corpus_id': 13, 'score': 0.35755980014801025}, {'corpus_id': 14, 'score': 0.3539675772190094}, {'corpus_id': 10, 'score': 0.33691850304603577}]]",454
Video_Games,linearized_row_wise,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 15, 19, 16]",precision@5: 1.0,"[[{'corpus_id': 17, 'score': 0.3812868297100067}, {'corpus_id': 18, 'score': 0.32195305824279785}, {'corpus_id': 15, 'score': 0.2952296733856201}, {'corpus_id': 19, 'score': 0.29053112864494324}, {'corpus_id': 16, 'score': 0.28560417890548706}]]",454
employee,linearized_row_wise,5,"Index([20, 21, 22, 23, 24], dtype='int64')","[22, 23, 20, 24, 21]",precision@5: 1.0,"[[{'corpus_id': 22, 'score': 0.27611058950424194}, {'corpus_id': 23, 'score': 0.26690682768821716}, {'corpus_id': 20, 'score': 0.2445889264345169}, {'corpus_id': 24, 'score': 0.15345856547355652}, {'corpus_id': 21, 'score': 0.1509229689836502}]]",454
Addresses,linearized_row_wise,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[25, 28, 27, 29, 26]",precision@5: 1.0,"[[{'corpus_id': 25, 'score': 0.2033315896987915}, {'corpus_id': 28, 'score': 0.17758673429489136}, {'corpus_id': 27, 'score': 0.1450660675764084}, {'corpus_id': 29, 'score': 0.11840662360191345}, {'corpus_id': 26, 'score': 0.113526351749897}]]",454
city,linearized_row_wise,5,"Index([30, 31, 32, 33, 34], dtype='int64')","[32, 34, 33, 31, 30]",precision@5: 1.0,"[[{'corpus_id': 32, 'score': 0.4692021608352661}, {'corpus_id': 34, 'score': 0.4602194130420685}, {'corpus_id': 33, 'score': 0.44931766390800476}, {'corpus_id': 31, 'score': 0.4332263469696045}, {'corpus_id': 30, 'score': 0.3943788707256317}]]",454
shop,linearized_row_wise,5,"Index([35, 36, 37, 38, 39], dtype='int64')","[38, 35, 36, 37, 39]",precision@5: 1.0,"[[{'corpus_id': 38, 'score': 0.24039286375045776}, {'corpus_id': 35, 'score': 0.23860453069210052}, {'corpus_id': 36, 'score': 0.23174303770065308}, {'corpus_id': 37, 'score': 0.18622808158397675}, {'corpus_id': 39, 'score': 0.16537746787071228}]]",454
stadium,linearized_row_wise,5,"Index([40, 41, 42, 43, 44], dtype='int64')","[40, 43, 41, 44, 42]",precision@5: 1.0,"[[{'corpus_id': 40, 'score': 0.3021998405456543}, {'corpus_id': 43, 'score': 0.25895193219184875}, {'corpus_id': 41, 'score': 0.25279995799064636}, {'corpus_id': 44, 'score': 0.20313160121440887}, {'corpus_id': 42, 'score': 0.1900411993265152}]]",454
singer,linearized_row_wise,5,"Index([45, 46, 47, 48, 49], dtype='int64')","[45, 47, 49, 46, 48]",precision@5: 1.0,"[[{'corpus_id': 45, 'score': 0.4305700361728668}, {'corpus_id': 47, 'score': 0.34010353684425354}, {'corpus_id': 49, 'score': 0.32793670892715454}, {'corpus_id': 46, 'score': 0.3248468041419983}, {'corpus_id': 48, 'score': 0.3215099573135376}]]",454
station_bike,linearized_row_wise,5,"Index([50, 51, 52, 53, 54], dtype='int64')","[53, 52, 54, 51, 50]",precision@5: 1.0,"[[{'corpus_id': 53, 'score': 0.27372586727142334}, {'corpus_id': 52, 'score': 0.2736324071884155}, {'corpus_id': 54, 'score': 0.2729997932910919}, {'corpus_id': 51, 'score': 0.2578499913215637}, {'corpus_id': 50, 'score': 0.2530709505081177}]]",454
matches,linearized_row_wise,5,"Index([55, 56, 57, 58, 59], dtype='int64')","[56, 58, 59, 57, 55]",precision@5: 1.0,"[[{'corpus_id': 56, 'score': 0.28832265734672546}, {'corpus_id': 58, 'score': 0.2866733968257904}, {'corpus_id': 59, 'score': 0.24871818721294403}, {'corpus_id': 57, 'score': 0.24698349833488464}, {'corpus_id': 55, 'score': 0.21247592568397522}]]",454
station_train,linearized_row_wise,5,"Index([60, 61, 62, 63, 64], dtype='int64')","[62, 61, 64, 60, 63]",precision@5: 1.0,"[[{'corpus_id': 62, 'score': 0.3541824519634247}, {'corpus_id': 61, 'score': 0.3441096544265747}, {'corpus_id': 64, 'score': 0.32904332876205444}, {'corpus_id': 60, 'score': 0.3246903419494629}, {'corpus_id': 63, 'score': 0.2525940239429474}]]",454
artist,linearized_row_wise,5,"Index([65, 66, 67, 68, 69], dtype='int64')","[69, 68, 66, 65, 67]",precision@5: 1.0,"[[{'corpus_id': 69, 'score': 0.39422303438186646}, {'corpus_id': 68, 'score': 0.34547489881515503}, {'corpus_id': 66, 'score': 0.29780417680740356}, {'corpus_id': 65, 'score': 0.2729647159576416}, {'corpus_id': 67, 'score': 0.2527962028980255}]]",454
school,linearized_row_wise,5,"Index([70, 71, 72, 73, 74], dtype='int64')","[72, 74, 73, 70, 71]",precision@5: 1.0,"[[{'corpus_id': 72, 'score': 0.4779953360557556}, {'corpus_id': 74, 'score': 0.45020705461502075}, {'corpus_id': 73, 'score': 0.4180108308792114}, {'corpus_id': 70, 'score': 0.39579498767852783}, {'corpus_id': 71, 'score': 0.34112265706062317}]]",454
book_club,linearized_row_wise,5,"Index([75, 76, 77, 78, 79], dtype='int64')","[77, 76, 79, 78, 75]",precision@5: 1.0,"[[{'corpus_id': 77, 'score': 0.3583408296108246}, {'corpus_id': 76, 'score': 0.3340515196323395}, {'corpus_id': 79, 'score': 0.2759312391281128}, {'corpus_id': 78, 'score': 0.26157042384147644}, {'corpus_id': 75, 'score': 0.2605852484703064}]]",454
Staff,linearized_row_wise,5,"Index([80, 81, 82, 83, 84], dtype='int64')","[84, 81, 83, 82, 80]",precision@5: 1.0,"[[{'corpus_id': 84, 'score': 0.3869102895259857}, {'corpus_id': 81, 'score': 0.31665414571762085}, {'corpus_id': 83, 'score': 0.30768945813179016}, {'corpus_id': 82, 'score': 0.3032388687133789}, {'corpus_id': 80, 'score': 0.1703013926744461}]]",454
Products,linearized_row_wise,5,"Index([85, 86, 87, 88, 89], dtype='int64')","[85, 88, 89, 87, 86]",precision@5: 1.0,"[[{'corpus_id': 85, 'score': 0.35847097635269165}, {'corpus_id': 88, 'score': 0.28930121660232544}, {'corpus_id': 89, 'score': 0.2753016948699951}, {'corpus_id': 87, 'score': 0.2555312216281891}, {'corpus_id': 86, 'score': 0.23483239114284515}]]",454
Addresses_customers,linearized_row_wise,5,"Index([90, 91, 92, 93, 94], dtype='int64')","[91, 94, 97, 90, 27]",precision@5: 0.6,"[[{'corpus_id': 91, 'score': 0.17370285093784332}, {'corpus_id': 94, 'score': 0.11669410020112991}, {'corpus_id': 97, 'score': 0.11438480019569397}, {'corpus_id': 90, 'score': 0.09606950730085373}, {'corpus_id': 27, 'score': 0.08721280097961426}]]",454
Customers,linearized_row_wise,5,"Index([95, 96, 97, 98, 99], dtype='int64')","[96, 95, 97, 99, 98]",precision@5: 1.0,"[[{'corpus_id': 96, 'score': 0.2629949152469635}, {'corpus_id': 95, 'score': 0.23746313154697418}, {'corpus_id': 97, 'score': 0.15809780359268188}, {'corpus_id': 99, 'score': 0.09054610878229141}, {'corpus_id': 98, 'score': 0.07900018244981766}]]",454
Physician,linearized_row_wise,5,"Index([200, 201, 202, 203, 204], dtype='int64')","[202, 203, 201, 204, 200]",precision@5: 1.0,"[[{'corpus_id': 202, 'score': 0.3887866139411926}, {'corpus_id': 203, 'score': 0.3543439209461212}, {'corpus_id': 201, 'score': 0.3045040965080261}, {'corpus_id': 204, 'score': 0.2814140319824219}, {'corpus_id': 200, 'score': 0.1756838858127594}]]",454
Movie,linearized_row_wise,5,"Index([205, 206, 207, 208, 209], dtype='int64')","[207, 208, 209, 205, 206]",precision@5: 1.0,"[[{'corpus_id': 207, 'score': 0.417235791683197}, {'corpus_id': 208, 'score': 0.3531307280063629}, {'corpus_id': 209, 'score': 0.3247399628162384}, {'corpus_id': 205, 'score': 0.31875815987586975}, {'corpus_id': 206, 'score': 0.2695451080799103}]]",454
film,linearized_row_wise,5,"Index([210, 211, 212, 213, 214], dtype='int64')","[211, 214, 210, 212, 213]",precision@5: 1.0,"[[{'corpus_id': 211, 'score': 0.40780097246170044}, {'corpus_id': 214, 'score': 0.3840565085411072}, {'corpus_id': 210, 'score': 0.37740427255630493}, {'corpus_id': 212, 'score': 0.3717920780181885}, {'corpus_id': 213, 'score': 0.33489182591438293}]]",454
films,linearized_row_wise,5,"Index([215, 216, 217, 218, 219], dtype='int64')","[215, 217, 216, 219, 218]",precision@5: 1.0,"[[{'corpus_id': 215, 'score': 0.24703750014305115}, {'corpus_id': 217, 'score': 0.2447345107793808}, {'corpus_id': 216, 'score': 0.2095496654510498}, {'corpus_id': 219, 'score': 0.20199860632419586}, {'corpus_id': 218, 'score': 0.19177933037281036}]]",454
medicine,linearized_row_wise,5,"Index([220, 221, 222, 223, 224], dtype='int64')","[222, 223, 221, 224, 220]",precision@5: 1.0,"[[{'corpus_id': 222, 'score': 0.268633633852005}, {'corpus_id': 223, 'score': 0.20468401908874512}, {'corpus_id': 221, 'score': 0.1918281614780426}, {'corpus_id': 224, 'score': 0.14490501582622528}, {'corpus_id': 220, 'score': 0.09038664400577545}]]",454
party,linearized_row_wise,5,"Index([225, 226, 227, 228, 229], dtype='int64')","[227, 225, 226, 229, 228]",precision@5: 1.0,"[[{'corpus_id': 227, 'score': 0.4062734544277191}, {'corpus_id': 225, 'score': 0.40604138374328613}, {'corpus_id': 226, 'score': 0.4012959897518158}, {'corpus_id': 229, 'score': 0.37294498085975647}, {'corpus_id': 228, 'score': 0.33898600935935974}]]",454
region,linearized_row_wise,5,"Index([230, 231, 232, 233, 234], dtype='int64')","[230, 232, 233, 234, 231]",precision@5: 1.0,"[[{'corpus_id': 230, 'score': 0.4946877062320709}, {'corpus_id': 232, 'score': 0.42478621006011963}, {'corpus_id': 233, 'score': 0.4149330258369446}, {'corpus_id': 234, 'score': 0.3762844204902649}, {'corpus_id': 231, 'score': 0.3191002905368805}]]",454
Student,linearized_row_wise,5,"Index([235, 236, 237, 238, 239], dtype='int64')","[333, 236, 239, 332, 334]",precision@5: 0.4,"[[{'corpus_id': 333, 'score': 0.16714932024478912}, {'corpus_id': 236, 'score': 0.16577956080436707}, {'corpus_id': 239, 'score': 0.14988544583320618}, {'corpus_id': 332, 'score': 0.14971688389778137}, {'corpus_id': 334, 'score': 0.1464538276195526}]]",454
list,linearized_row_wise,5,"Index([240, 241, 242, 243, 244], dtype='int64')","[241, 240, 243, 242, 244]",precision@5: 1.0,"[[{'corpus_id': 241, 'score': 0.16691888868808746}, {'corpus_id': 240, 'score': 0.12214677035808563}, {'corpus_id': 243, 'score': 0.11803638190031052}, {'corpus_id': 242, 'score': 0.10289482772350311}, {'corpus_id': 244, 'score': 0.10246224701404572}]]",454
teachers,linearized_row_wise,5,"Index([245, 246, 247, 248, 249], dtype='int64')","[247, 248, 246, 245, 249]",precision@5: 1.0,"[[{'corpus_id': 247, 'score': 0.23757734894752502}, {'corpus_id': 248, 'score': 0.20203933119773865}, {'corpus_id': 246, 'score': 0.17687644064426422}, {'corpus_id': 245, 'score': 0.16689135134220123}, {'corpus_id': 249, 'score': 0.12234724313020706}]]",454
drivers,linearized_row_wise,5,"Index([336, 337, 338, 339, 358], dtype='int64')","[338, 339, 336, 343, 337]",precision@5: 0.8,"[[{'corpus_id': 338, 'score': 0.20468834042549133}, {'corpus_id': 339, 'score': 0.16813808679580688}, {'corpus_id': 336, 'score': 0.1542423665523529}, {'corpus_id': 343, 'score': 0.1527661383152008}, {'corpus_id': 337, 'score': 0.1456453949213028}]]",454
circuits,linearized_row_wise,5,"Index([340, 341, 342, 343, 344], dtype='int64')","[340, 394, 341, 342, 343]",precision@5: 0.8,"[[{'corpus_id': 340, 'score': 0.15932516753673553}, {'corpus_id': 394, 'score': 0.15459446609020233}, {'corpus_id': 341, 'score': 0.14344730973243713}, {'corpus_id': 342, 'score': 0.14028607308864594}, {'corpus_id': 343, 'score': 0.1382950097322464}]]",454
constructors,linearized_row_wise,5,"Index([345, 346, 347, 348, 349], dtype='int64')","[345, 347, 348, 349, 346]",precision@5: 1.0,"[[{'corpus_id': 345, 'score': 0.36438319087028503}, {'corpus_id': 347, 'score': 0.34870994091033936}, {'corpus_id': 348, 'score': 0.33037516474723816}, {'corpus_id': 349, 'score': 0.3129841685295105}, {'corpus_id': 346, 'score': 0.2864256501197815}]]",454
user_reviews,linearized_row_wise,5,"Index([350, 351, 352, 353, 354], dtype='int64')","[350, 354, 401, 352, 353]",precision@5: 0.8,"[[{'corpus_id': 350, 'score': 0.19273343682289124}, {'corpus_id': 354, 'score': 0.18088045716285706}, {'corpus_id': 401, 'score': 0.17736144363880157}, {'corpus_id': 352, 'score': 0.1367013156414032}, {'corpus_id': 353, 'score': 0.1280946284532547}]]",454
customers,linearized_row_wise,5,"Index([355, 356, 357, 359, 360], dtype='int64')","[362, 95, 97, 98, 355]",precision@5: 0.2,"[[{'corpus_id': 362, 'score': 0.08233503997325897}, {'corpus_id': 95, 'score': 0.07937449961900711}, {'corpus_id': 97, 'score': 0.07145177572965622}, {'corpus_id': 98, 'score': 0.06699597090482712}, {'corpus_id': 355, 'score': 0.06622849404811859}]]",454
rootbeerbrand,linearized_row_wise,5,"Index([361, 362, 363, 364, 365], dtype='int64')","[364, 365, 362, 361, 360]",precision@5: 0.8,"[[{'corpus_id': 364, 'score': 0.32653164863586426}, {'corpus_id': 365, 'score': 0.28124985098838806}, {'corpus_id': 362, 'score': 0.2759193480014801}, {'corpus_id': 361, 'score': 0.23021849989891052}, {'corpus_id': 360, 'score': 0.2280680239200592}]]",454
publisher,linearized_row_wise,5,"Index([366, 367, 368, 369, 382], dtype='int64')","[383, 370, 377, 375, 371]",precision@5: 0.0,"[[{'corpus_id': 383, 'score': 0.1861869990825653}, {'corpus_id': 370, 'score': 0.15892267227172852}, {'corpus_id': 377, 'score': 0.1526198536157608}, {'corpus_id': 375, 'score': 0.1255623698234558}, {'corpus_id': 371, 'score': 0.12130039930343628}]]",454
author,linearized_row_wise,5,"Index([370, 371, 372, 373, 383], dtype='int64')","[371, 370, 382, 383, 366]",precision@5: 0.6,"[[{'corpus_id': 371, 'score': 0.14298973977565765}, {'corpus_id': 370, 'score': 0.1340148150920868}, {'corpus_id': 382, 'score': 0.09637199342250824}, {'corpus_id': 383, 'score': 0.09018454700708389}, {'corpus_id': 366, 'score': 0.07087535411119461}]]",454
customer,linearized_row_wise,5,"Index([374, 375, 376, 377, 384], dtype='int64')","[95, 96, 97, 84, 81]",precision@5: 0.0,"[[{'corpus_id': 95, 'score': 0.08304087817668915}, {'corpus_id': 96, 'score': 0.06388968229293823}, {'corpus_id': 97, 'score': 0.06183665990829468}, {'corpus_id': 84, 'score': 0.06147414818406105}, {'corpus_id': 81, 'score': 0.05973318964242935}]]",454
businesses,linearized_row_wise,5,"Index([378, 379, 380, 381, 385], dtype='int64')","[378, 379, 385, 380, 381]",precision@5: 1.0,"[[{'corpus_id': 378, 'score': 0.19779179990291595}, {'corpus_id': 379, 'score': 0.1633147895336151}, {'corpus_id': 385, 'score': 0.14086538553237915}, {'corpus_id': 380, 'score': 0.12560512125492096}, {'corpus_id': 381, 'score': 0.12145228683948517}]]",454
AllotropesCarbon,linearized_row_wise,1,"Index([406], dtype='int64')",[406],precision@1: 1.0,"[[{'corpus_id': 406, 'score': 0.361503541469574}]]",454
AluminiumAluminium,linearized_row_wise,1,"Index([424], dtype='int64')",[407],precision@1: 0.0,"[[{'corpus_id': 407, 'score': 0.2273070514202118}]]",454
Apollo_11,linearized_row_wise,1,"Index([], dtype='int64')",[411],precision@1: 0.0,"[[{'corpus_id': 411, 'score': 0.40048182010650635}]]",454
Automatic speech recognitionDeep learning,linearized_row_wise,1,"Index([445], dtype='int64')",[445],precision@1: 1.0,"[[{'corpus_id': 445, 'score': 0.08729665726423264}]]",454
Bluetooth device power by class Bluetooth,linearized_row_wise,1,"Index([427], dtype='int64')",[427],precision@1: 1.0,"[[{'corpus_id': 427, 'score': 0.18804161250591278}]]",454
Chlorine oxoacids and oxyanionsChlorine,linearized_row_wise,1,"Index([439], dtype='int64')",[439],precision@1: 1.0,"[[{'corpus_id': 439, 'score': 0.18604010343551636}]]",454
Clubs relegated from Série ACampeonato Brasileiro Série A,linearized_row_wise,1,"Index([402], dtype='int64')",[402],precision@1: 1.0,"[[{'corpus_id': 402, 'score': 0.13892346620559692}]]",454
Common purposesDam,linearized_row_wise,1,"Index([449], dtype='int64')",[449],precision@1: 1.0,"[[{'corpus_id': 449, 'score': 0.23534533381462097}]]",454
Comparison of motor types Electric motor,linearized_row_wise,1,"Index([446], dtype='int64')",[446],precision@1: 1.0,"[[{'corpus_id': 446, 'score': 0.23465563356876373}]]",454
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",linearized_row_wise,1,"Index([404], dtype='int64')",[404],precision@1: 1.0,"[[{'corpus_id': 404, 'score': 0.2048131376504898}]]",454
Currently docked_berthedInternational Space Station,linearized_row_wise,1,"Index([410], dtype='int64')",[411],precision@1: 0.0,"[[{'corpus_id': 411, 'score': 0.12127408385276794}]]",454
Current squadBrazil national football team,linearized_row_wise,1,"Index([403], dtype='int64')",[403],precision@1: 1.0,"[[{'corpus_id': 403, 'score': 0.12908221781253815}]]",454
Decay modes in NUBASE2020[30] Radioactive decay,linearized_row_wise,1,"Index([434], dtype='int64')",[434],precision@1: 1.0,"[[{'corpus_id': 434, 'score': 0.22974428534507751}]]",454
Electromagnetic radiation interaction with matter Electromagnetic spectrum,linearized_row_wise,1,"Index([420], dtype='int64')",[420],precision@1: 1.0,"[[{'corpus_id': 420, 'score': 0.2654716968536377}]]",454
Electron configurationsPeriodic table,linearized_row_wise,1,"Index([405], dtype='int64')",[11],precision@1: 0.0,"[[{'corpus_id': 11, 'score': 0.11027967929840088}]]",454
Elementary Particles Particle physics,linearized_row_wise,1,"Index([448], dtype='int64')",[448],precision@1: 1.0,"[[{'corpus_id': 448, 'score': 0.2414877861738205}]]",454
Energetics of supernovae Supernova,linearized_row_wise,1,"Index([442], dtype='int64')",[442],precision@1: 1.0,"[[{'corpus_id': 442, 'score': 0.15820281207561493}]]",454
Fuel use in vehicle designs Electric vehicle,linearized_row_wise,1,"Index([436], dtype='int64')",[436],precision@1: 1.0,"[[{'corpus_id': 436, 'score': 0.24013225734233856}]]",454
Genetic testingCancer,linearized_row_wise,1,"Index([430], dtype='int64')",[430],precision@1: 1.0,"[[{'corpus_id': 430, 'score': 0.1184437945485115}]]",454
Genomic diversity among viruses Virus,linearized_row_wise,1,"Index([416], dtype='int64')",[405],precision@1: 0.0,"[[{'corpus_id': 405, 'score': 0.08146694302558899}]]",454
GoldGold,linearized_row_wise,1,"Index([422], dtype='int64')",[95],precision@1: 0.0,"[[{'corpus_id': 95, 'score': 0.10306219756603241}]]",454
GPS message format Global Positioning System,linearized_row_wise,1,"Index([450], dtype='int64')",[450],precision@1: 1.0,"[[{'corpus_id': 450, 'score': 0.16833175718784332}]]",454
HeliumHelium,linearized_row_wise,1,"Index([425], dtype='int64')",[159],precision@1: 0.0,"[[{'corpus_id': 159, 'score': 0.08856453001499176}]]",454
Interactions of thermodynamic systems Thermodynamics,linearized_row_wise,1,"Index([433], dtype='int64')",[433],precision@1: 1.0,"[[{'corpus_id': 433, 'score': 0.0847819522023201}]]",454
IronIron,linearized_row_wise,1,"Index([408], dtype='int64')",[407],precision@1: 0.0,"[[{'corpus_id': 407, 'score': 0.17752744257450104}]]",454
JavaScript type conversions JavaScript,linearized_row_wise,1,"Index([443], dtype='int64')",[405],precision@1: 0.0,"[[{'corpus_id': 405, 'score': 0.06811200827360153}]]",454
JIS transistor prefix table Transistor,linearized_row_wise,1,"Index([415], dtype='int64')",[415],precision@1: 1.0,"[[{'corpus_id': 415, 'score': 0.0920800194144249}]]",454
Lithium-ion battery,linearized_row_wise,1,"Index([437], dtype='int64')",[250],precision@1: 0.0,"[[{'corpus_id': 250, 'score': 0.11648983508348465}]]",454
LithiumLithium,linearized_row_wise,1,"Index([409], dtype='int64')",[407],precision@1: 0.0,"[[{'corpus_id': 407, 'score': 0.2162833958864212}]]",454
Magnetic field,linearized_row_wise,1,"Index([432], dtype='int64')",[432],precision@1: 1.0,"[[{'corpus_id': 432, 'score': 0.14385196566581726}]]",454
Major milestones James Webb Space Telescope,linearized_row_wise,1,"Index([413], dtype='int64')",[413],precision@1: 1.0,"[[{'corpus_id': 413, 'score': 0.35571056604385376}]]",454
Mass ratiosRocket,linearized_row_wise,1,"Index([435], dtype='int64')",[411],precision@1: 0.0,"[[{'corpus_id': 411, 'score': 0.15361922979354858}]]",454
"Neutronicity, confinement requirement, and power densityNuclear fusion",linearized_row_wise,1,"Index([418], dtype='int64')",[407],precision@1: 0.0,"[[{'corpus_id': 407, 'score': 0.12756724655628204}]]",454
Order and kineticsPhotosynthesis,linearized_row_wise,1,"Index([431], dtype='int64')",[431],precision@1: 1.0,"[[{'corpus_id': 431, 'score': 0.17370176315307617}]]",454
OxoacidsPhosphorus,linearized_row_wise,1,"Index([440], dtype='int64')",[440],precision@1: 1.0,"[[{'corpus_id': 440, 'score': 0.1464616060256958}]]",454
Page version statusSulfur,linearized_row_wise,1,"Index([441], dtype='int64')",[407],precision@1: 0.0,"[[{'corpus_id': 407, 'score': 0.1981990486383438}]]",454
Platform informationAndroid (operating system),linearized_row_wise,1,"Index([444], dtype='int64')",[10],precision@1: 0.0,"[[{'corpus_id': 10, 'score': 0.09822851419448853}]]",454
Pourbaix diagrams[110] Uranium,linearized_row_wise,1,"Index([407], dtype='int64')",[407],precision@1: 1.0,"[[{'corpus_id': 407, 'score': 0.21464182436466217}]]",454
Pourbaix diagrams for copper Copper,linearized_row_wise,1,"Index([423], dtype='int64')",[423],precision@1: 1.0,"[[{'corpus_id': 423, 'score': 0.1903281807899475}]]",454
Radar frequency bands Radar,linearized_row_wise,1,"Index([451], dtype='int64')",[451],precision@1: 1.0,"[[{'corpus_id': 451, 'score': 0.262263685464859}]]",454
Share of total world manufacturing output (percentage)[187] Industrial Revolution,linearized_row_wise,1,"Index([438], dtype='int64')",[232],precision@1: 0.0,"[[{'corpus_id': 232, 'score': 0.12673704326152802}]]",454
SuccessorsHubble Space Telescope,linearized_row_wise,1,"Index([412], dtype='int64')",[412],precision@1: 1.0,"[[{'corpus_id': 412, 'score': 0.26893705129623413}]]",454
Summary of achievementsSpaceX,linearized_row_wise,1,"Index([414], dtype='int64')",[414],precision@1: 1.0,"[[{'corpus_id': 414, 'score': 0.31775882840156555}]]",454
The continuous or average power required for some uses: Laser,linearized_row_wise,1,"Index([421], dtype='int64')",[421],precision@1: 1.0,"[[{'corpus_id': 421, 'score': 0.15269188582897186}]]",454
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,linearized_row_wise,1,"Index([452], dtype='int64')",[65],precision@1: 0.0,"[[{'corpus_id': 65, 'score': 0.08257999271154404}]]",454
The fourth state of matterPlasma (physics),linearized_row_wise,1,"Index([447], dtype='int64')",[447],precision@1: 1.0,"[[{'corpus_id': 447, 'score': 0.23398452997207642}]]",454
Twin paradoxSpecial relativity,linearized_row_wise,1,"Index([419], dtype='int64')",[92],precision@1: 0.0,"[[{'corpus_id': 92, 'score': 0.062393851578235626}]]",454
TypesCell (biology),linearized_row_wise,1,"Index([417], dtype='int64')",[417],precision@1: 1.0,"[[{'corpus_id': 417, 'score': 0.19596852362155914}]]",454
USB power standards USB,linearized_row_wise,1,"Index([426], dtype='int64')",[426],precision@1: 1.0,"[[{'corpus_id': 426, 'score': 0.18959251046180725}]]",454
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,linearized_row_wise,1,"Index([453], dtype='int64')",[88],precision@1: 0.0,"[[{'corpus_id': 88, 'score': 0.10218304395675659}]]",454
VersionsJava (programming language),linearized_row_wise,1,"Index([429], dtype='int64')",[429],precision@1: 1.0,"[[{'corpus_id': 429, 'score': 0.15935593843460083}]]",454
Wi-Fi generationsvte Wi-Fi,linearized_row_wise,1,"Index([428], dtype='int64')",[428],precision@1: 1.0,"[[{'corpus_id': 428, 'score': 0.20255057513713837}]]",454
artists,template_based,5,"Index([0, 1, 2, 3, 4], dtype='int64')","[4, 0, 2, 1, 3]",precision@5: 1.0,"[[{'corpus_id': 4, 'score': 0.20609906315803528}, {'corpus_id': 0, 'score': 0.17815059423446655}, {'corpus_id': 2, 'score': 0.1476684808731079}, {'corpus_id': 1, 'score': 0.14480124413967133}, {'corpus_id': 3, 'score': 0.10103453695774078}]]",454
playlists,template_based,5,"Index([5, 6, 7, 8, 9], dtype='int64')","[8, 6, 7, 5, 9]",precision@5: 1.0,"[[{'corpus_id': 8, 'score': 0.3032543361186981}, {'corpus_id': 6, 'score': 0.27926933765411377}, {'corpus_id': 7, 'score': 0.2518443465232849}, {'corpus_id': 5, 'score': 0.22425486147403717}, {'corpus_id': 9, 'score': 0.2018505334854126}]]",454
chip_model,template_based,5,"Index([10, 11, 12, 13, 14], dtype='int64')","[11, 12, 13, 14, 10]",precision@5: 1.0,"[[{'corpus_id': 11, 'score': 0.3594357669353485}, {'corpus_id': 12, 'score': 0.35586100816726685}, {'corpus_id': 13, 'score': 0.3424006998538971}, {'corpus_id': 14, 'score': 0.33731016516685486}, {'corpus_id': 10, 'score': 0.32016628980636597}]]",454
Video_Games,template_based,5,"Index([15, 16, 17, 18, 19], dtype='int64')","[17, 18, 16, 19, 15]",precision@5: 1.0,"[[{'corpus_id': 17, 'score': 0.380064457654953}, {'corpus_id': 18, 'score': 0.3558785021305084}, {'corpus_id': 16, 'score': 0.31914860010147095}, {'corpus_id': 19, 'score': 0.30470192432403564}, {'corpus_id': 15, 'score': 0.3025885224342346}]]",454
