Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
TypesCell (biology),linearized_row_wise,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.19596852362155914}]]",52
USB power standards USB,linearized_row_wise,1,"Index([24], dtype='int64')",[24],"precision: 1.0
recall: 1.0","[[{'corpus_id': 24, 'score': 0.18959251046180725}]]",52
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,linearized_row_wise,1,"Index([51], dtype='int64')",[48],"precision: 0.0
recall: 0.0","[[{'corpus_id': 48, 'score': 0.09115435183048248}]]",52
VersionsJava (programming language),linearized_row_wise,1,"Index([27], dtype='int64')",[27],"precision: 1.0
recall: 1.0","[[{'corpus_id': 27, 'score': 0.15935593843460083}]]",52
Wi-Fi generationsvte Wi-Fi,linearized_row_wise,1,"Index([26], dtype='int64')",[26],"precision: 1.0
recall: 1.0","[[{'corpus_id': 26, 'score': 0.20255057513713837}]]",52
AllotropesCarbon,template_based,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.3520069420337677}]]",52
AluminiumAluminium,template_based,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2384319305419922}]]",52
Apollo_11,template_based,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.4070703089237213}]]",52
Automatic speech recognitionDeep learning,template_based,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.1121969074010849}]]",52
Bluetooth device power by class Bluetooth,template_based,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.20062923431396484}]]",52
Chlorine oxoacids and oxyanionsChlorine,template_based,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.19550661742687225}]]",52
Clubs relegated from Série ACampeonato Brasileiro Série A,template_based,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.18195587396621704}]]",52
Common purposesDam,template_based,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.2336638867855072}]]",52
Comparison of motor types Electric motor,template_based,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.2397061139345169}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",template_based,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.24896223843097687}]]",52
Currently docked_berthedInternational Space Station,template_based,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.13823117315769196}]]",52
Current squadBrazil national football team,template_based,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.113548643887043}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,template_based,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.2435920387506485}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,template_based,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.2711830735206604}]]",52
Electron configurationsPeriodic table,template_based,1,"Index([3], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.07193566113710403}]]",52
Elementary Particles Particle physics,template_based,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.23217566311359406}]]",52
Energetics of supernovae Supernova,template_based,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.16763630509376526}]]",52
Fuel use in vehicle designs Electric vehicle,template_based,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.25520798563957214}]]",52
Genetic testingCancer,template_based,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.1324288547039032}]]",52
Genomic diversity among viruses Virus,template_based,1,"Index([14], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.07024147361516953}]]",52
GoldGold,template_based,1,"Index([20], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.0510343499481678}]]",52
GPS message format Global Positioning System,template_based,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.1719050407409668}]]",52
HeliumHelium,template_based,1,"Index([23], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.04612913355231285}]]",52
Interactions of thermodynamic systems Thermodynamics,template_based,1,"Index([31], dtype='int64')",[31],"precision: 1.0
recall: 1.0","[[{'corpus_id': 31, 'score': 0.09488093852996826}]]",52
IronIron,template_based,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.19288934767246246}]]",52
JavaScript type conversions JavaScript,template_based,1,"Index([41], dtype='int64')",[50],"precision: 0.0
recall: 0.0","[[{'corpus_id': 50, 'score': 0.04565451294183731}]]",52
JIS transistor prefix table Transistor,template_based,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.09252794831991196}]]",52
Lithium-ion battery,template_based,1,"Index([35], dtype='int64')",[45],"precision: 0.0
recall: 0.0","[[{'corpus_id': 45, 'score': 0.05735998600721359}]]",52
LithiumLithium,template_based,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2177915871143341}]]",52
Magnetic field,template_based,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.14391107857227325}]]",52
Major milestones James Webb Space Telescope,template_based,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.35531309247016907}]]",52
Mass ratiosRocket,template_based,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.14301957190036774}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",template_based,1,"Index([16], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.1333061307668686}]]",52
Order and kineticsPhotosynthesis,template_based,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.18634463846683502}]]",52
OxoacidsPhosphorus,template_based,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.15036779642105103}]]",52
Page version statusSulfur,template_based,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2152312994003296}]]",52
Platform informationAndroid (operating system),template_based,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.08368945121765137}]]",52
Pourbaix diagrams[110] Uranium,template_based,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.20267543196678162}]]",52
Pourbaix diagrams for copper Copper,template_based,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.1796361654996872}]]",52
Radar frequency bands Radar,template_based,1,"Index([49], dtype='int64')",[49],"precision: 1.0
recall: 1.0","[[{'corpus_id': 49, 'score': 0.2695744037628174}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,template_based,1,"Index([36], dtype='int64')",[36],"precision: 1.0
recall: 1.0","[[{'corpus_id': 36, 'score': 0.08846335113048553}]]",52
SuccessorsHubble Space Telescope,template_based,1,"Index([10], dtype='int64')",[11],"precision: 0.0
recall: 0.0","[[{'corpus_id': 11, 'score': 0.2542714774608612}]]",52
Summary of achievementsSpaceX,template_based,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.31455856561660767}]]",52
The continuous or average power required for some uses: Laser,template_based,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15925544500350952}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,template_based,1,"Index([50], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.037845294922590256}]]",52
The fourth state of matterPlasma (physics),template_based,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.25459861755371094}]]",52
Twin paradoxSpecial relativity,template_based,1,"Index([17], dtype='int64')",[17],"precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.06103847175836563}]]",52
TypesCell (biology),template_based,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.203767791390419}]]",52
USB power standards USB,template_based,1,"Index([24], dtype='int64')",[24],"precision: 1.0
recall: 1.0","[[{'corpus_id': 24, 'score': 0.19723393023014069}]]",52
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,template_based,1,"Index([51], dtype='int64')",[48],"precision: 0.0
recall: 0.0","[[{'corpus_id': 48, 'score': 0.09376144409179688}]]",52
VersionsJava (programming language),template_based,1,"Index([27], dtype='int64')",[27],"precision: 1.0
recall: 1.0","[[{'corpus_id': 27, 'score': 0.1927608996629715}]]",52
Wi-Fi generationsvte Wi-Fi,template_based,1,"Index([26], dtype='int64')",[26],"precision: 1.0
recall: 1.0","[[{'corpus_id': 26, 'score': 0.21686924993991852}]]",52
AllotropesCarbon,markdown,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.36972445249557495}]]",52
AluminiumAluminium,markdown,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.24611902236938477}]]",52
Apollo_11,markdown,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.40990981459617615}]]",52
Automatic speech recognitionDeep learning,markdown,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.12988057732582092}]]",52
Bluetooth device power by class Bluetooth,markdown,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.07988011091947556}]]",52
Chlorine oxoacids and oxyanionsChlorine,markdown,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.20317770540714264}]]",52
Clubs relegated from Série ACampeonato Brasileiro Série A,markdown,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.16010291874408722}]]",52
Common purposesDam,markdown,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.1628313958644867}]]",52
Comparison of motor types Electric motor,markdown,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.1566692292690277}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",markdown,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.22498226165771484}]]",52
Currently docked_berthedInternational Space Station,markdown,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.15227971971035004}]]",52
Current squadBrazil national football team,markdown,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.1170838326215744}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,markdown,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.23172657191753387}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,markdown,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.27528655529022217}]]",52
Electron configurationsPeriodic table,markdown,1,"Index([3], dtype='int64')",[8],"precision: 0.0
recall: 0.0","[[{'corpus_id': 8, 'score': 0.06505508720874786}]]",52
Elementary Particles Particle physics,markdown,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.26766568422317505}]]",52
Energetics of supernovae Supernova,markdown,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.16013219952583313}]]",52
Fuel use in vehicle designs Electric vehicle,markdown,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.2615559995174408}]]",52
Genetic testingCancer,markdown,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.1417965292930603}]]",52
Genomic diversity among viruses Virus,markdown,1,"Index([14], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.059518590569496155}]]",52
GoldGold,markdown,1,"Index([20], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.048991262912750244}]]",52
GPS message format Global Positioning System,markdown,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.1782127171754837}]]",52
HeliumHelium,markdown,1,"Index([23], dtype='int64')",[38],"precision: 0.0
recall: 0.0","[[{'corpus_id': 38, 'score': 0.042675357311964035}]]",52
Interactions of thermodynamic systems Thermodynamics,markdown,1,"Index([31], dtype='int64')",[44],"precision: 0.0
recall: 0.0","[[{'corpus_id': 44, 'score': 0.10680349171161652}]]",52
IronIron,markdown,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.24477830529212952}]]",52
JavaScript type conversions JavaScript,markdown,1,"Index([41], dtype='int64')",[50],"precision: 0.0
recall: 0.0","[[{'corpus_id': 50, 'score': 0.04726184904575348}]]",52
JIS transistor prefix table Transistor,markdown,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.11223341524600983}]]",52
Lithium-ion battery,markdown,1,"Index([35], dtype='int64')",[45],"precision: 0.0
recall: 0.0","[[{'corpus_id': 45, 'score': 0.05672821030020714}]]",52
LithiumLithium,markdown,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2511887550354004}]]",52
Magnetic field,markdown,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.2042517513036728}]]",52
Major milestones James Webb Space Telescope,markdown,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.32260555028915405}]]",52
Mass ratiosRocket,markdown,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.18139660358428955}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",markdown,1,"Index([16], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.09793618321418762}]]",52
Order and kineticsPhotosynthesis,markdown,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.1701052039861679}]]",52
OxoacidsPhosphorus,markdown,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.1674300730228424}]]",52
Page version statusSulfur,markdown,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.2600097060203552}]]",52
Platform informationAndroid (operating system),markdown,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.11233249306678772}]]",52
Pourbaix diagrams[110] Uranium,markdown,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.1984410285949707}]]",52
Pourbaix diagrams for copper Copper,markdown,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.15700465440750122}]]",52
Radar frequency bands Radar,markdown,1,"Index([49], dtype='int64')",[18],"precision: 0.0
recall: 0.0","[[{'corpus_id': 18, 'score': 0.24814677238464355}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,markdown,1,"Index([36], dtype='int64')",[36],"precision: 1.0
recall: 1.0","[[{'corpus_id': 36, 'score': 0.11322376877069473}]]",52
SuccessorsHubble Space Telescope,markdown,1,"Index([10], dtype='int64')",[11],"precision: 0.0
recall: 0.0","[[{'corpus_id': 11, 'score': 0.23154482245445251}]]",52
Summary of achievementsSpaceX,markdown,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.34617722034454346}]]",52
The continuous or average power required for some uses: Laser,markdown,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15473850071430206}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,markdown,1,"Index([50], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.0391269288957119}]]",52
The fourth state of matterPlasma (physics),markdown,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.21333615481853485}]]",52
Twin paradoxSpecial relativity,markdown,1,"Index([17], dtype='int64')",[49],"precision: 0.0
recall: 0.0","[[{'corpus_id': 49, 'score': 0.06651539355516434}]]",52
TypesCell (biology),markdown,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.22697226703166962}]]",52
USB power standards USB,markdown,1,"Index([24], dtype='int64')",[13],"precision: 0.0
recall: 0.0","[[{'corpus_id': 13, 'score': 0.07685145735740662}]]",52
US expenditures in South Vietnam (1953–74)Direct costs only[423] Vietnam War,markdown,1,"Index([51], dtype='int64')",[48],"precision: 0.0
recall: 0.0","[[{'corpus_id': 48, 'score': 0.08794360607862473}]]",52
VersionsJava (programming language),markdown,1,"Index([27], dtype='int64')",[27],"precision: 1.0
recall: 1.0","[[{'corpus_id': 27, 'score': 0.1506420224905014}]]",52
Wi-Fi generationsvte Wi-Fi,markdown,1,"Index([26], dtype='int64')",[26],"precision: 1.0
recall: 1.0","[[{'corpus_id': 26, 'score': 0.18494181334972382}]]",52
AllotropesCarbon,html_like,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.3390267491340637}]]",52
AluminiumAluminium,html_like,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.21003475785255432}]]",52
Apollo_11,html_like,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.3577113747596741}]]",52
Automatic speech recognitionDeep learning,html_like,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.1297483593225479}]]",52
Bluetooth device power by class Bluetooth,html_like,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.17510217428207397}]]",52
Chlorine oxoacids and oxyanionsChlorine,html_like,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.17600102722644806}]]",52
Clubs relegated from Série ACampeonato Brasileiro Série A,html_like,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.10175761580467224}]]",52
Common purposesDam,html_like,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.2164769470691681}]]",52
Comparison of motor types Electric motor,html_like,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.22814081609249115}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",html_like,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.20782813429832458}]]",52
Currently docked_berthedInternational Space Station,html_like,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.1530701220035553}]]",52
Current squadBrazil national football team,html_like,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.09921243786811829}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,html_like,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.19187985360622406}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,html_like,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.2475806623697281}]]",52
Electron configurationsPeriodic table,html_like,1,"Index([3], dtype='int64')",[3],"precision: 1.0
recall: 1.0","[[{'corpus_id': 3, 'score': 0.08218535035848618}]]",52
Elementary Particles Particle physics,html_like,1,"Index([46], dtype='int64')",[46],"precision: 1.0
recall: 1.0","[[{'corpus_id': 46, 'score': 0.18669195473194122}]]",52
Energetics of supernovae Supernova,html_like,1,"Index([40], dtype='int64')",[40],"precision: 1.0
recall: 1.0","[[{'corpus_id': 40, 'score': 0.1498011201620102}]]",52
Fuel use in vehicle designs Electric vehicle,html_like,1,"Index([34], dtype='int64')",[34],"precision: 1.0
recall: 1.0","[[{'corpus_id': 34, 'score': 0.25365275144577026}]]",52
Genetic testingCancer,html_like,1,"Index([28], dtype='int64')",[28],"precision: 1.0
recall: 1.0","[[{'corpus_id': 28, 'score': 0.11555927991867065}]]",52
Genomic diversity among viruses Virus,html_like,1,"Index([14], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.07190313935279846}]]",52
GoldGold,html_like,1,"Index([20], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08556899428367615}]]",52
GPS message format Global Positioning System,html_like,1,"Index([48], dtype='int64')",[48],"precision: 1.0
recall: 1.0","[[{'corpus_id': 48, 'score': 0.1501869410276413}]]",52
HeliumHelium,html_like,1,"Index([23], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08709736168384552}]]",52
Interactions of thermodynamic systems Thermodynamics,html_like,1,"Index([31], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.07107312977313995}]]",52
IronIron,html_like,1,"Index([6], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.16509541869163513}]]",52
JavaScript type conversions JavaScript,html_like,1,"Index([41], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.0779426172375679}]]",52
JIS transistor prefix table Transistor,html_like,1,"Index([13], dtype='int64')",[13],"precision: 1.0
recall: 1.0","[[{'corpus_id': 13, 'score': 0.09925750643014908}]]",52
Lithium-ion battery,html_like,1,"Index([35], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.06025954335927963}]]",52
LithiumLithium,html_like,1,"Index([7], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.20529311895370483}]]",52
Magnetic field,html_like,1,"Index([30], dtype='int64')",[30],"precision: 1.0
recall: 1.0","[[{'corpus_id': 30, 'score': 0.1392756849527359}]]",52
Major milestones James Webb Space Telescope,html_like,1,"Index([11], dtype='int64')",[11],"precision: 1.0
recall: 1.0","[[{'corpus_id': 11, 'score': 0.3032383918762207}]]",52
Mass ratiosRocket,html_like,1,"Index([33], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.15927071869373322}]]",52
"Neutronicity, confinement requirement, and power densityNuclear fusion",html_like,1,"Index([16], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.08034685254096985}]]",52
Order and kineticsPhotosynthesis,html_like,1,"Index([29], dtype='int64')",[29],"precision: 1.0
recall: 1.0","[[{'corpus_id': 29, 'score': 0.1636451631784439}]]",52
OxoacidsPhosphorus,html_like,1,"Index([38], dtype='int64')",[38],"precision: 1.0
recall: 1.0","[[{'corpus_id': 38, 'score': 0.12206212431192398}]]",52
Page version statusSulfur,html_like,1,"Index([39], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.18608351051807404}]]",52
Platform informationAndroid (operating system),html_like,1,"Index([42], dtype='int64')",[42],"precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.07571416348218918}]]",52
Pourbaix diagrams[110] Uranium,html_like,1,"Index([5], dtype='int64')",[5],"precision: 1.0
recall: 1.0","[[{'corpus_id': 5, 'score': 0.17726105451583862}]]",52
Pourbaix diagrams for copper Copper,html_like,1,"Index([21], dtype='int64')",[21],"precision: 1.0
recall: 1.0","[[{'corpus_id': 21, 'score': 0.14912962913513184}]]",52
Radar frequency bands Radar,html_like,1,"Index([49], dtype='int64')",[49],"precision: 1.0
recall: 1.0","[[{'corpus_id': 49, 'score': 0.2754870057106018}]]",52
Share of total world manufacturing output (percentage)[187] Industrial Revolution,html_like,1,"Index([36], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.09474727511405945}]]",52
SuccessorsHubble Space Telescope,html_like,1,"Index([10], dtype='int64')",[10],"precision: 1.0
recall: 1.0","[[{'corpus_id': 10, 'score': 0.24069413542747498}]]",52
Summary of achievementsSpaceX,html_like,1,"Index([12], dtype='int64')",[12],"precision: 1.0
recall: 1.0","[[{'corpus_id': 12, 'score': 0.2993714511394501}]]",52
The continuous or average power required for some uses: Laser,html_like,1,"Index([19], dtype='int64')",[19],"precision: 1.0
recall: 1.0","[[{'corpus_id': 19, 'score': 0.15051457285881042}]]",52
The division by age in the Inca empire from the book Daily Life in Peru Under the Last Incas page 103-104[57] Inca Empire,html_like,1,"Index([50], dtype='int64')",[3],"precision: 0.0
recall: 0.0","[[{'corpus_id': 3, 'score': 0.04662679135799408}]]",52
The fourth state of matterPlasma (physics),html_like,1,"Index([45], dtype='int64')",[45],"precision: 1.0
recall: 1.0","[[{'corpus_id': 45, 'score': 0.21867407858371735}]]",52
Twin paradoxSpecial relativity,html_like,1,"Index([17], dtype='int64')",[17],"precision: 1.0
recall: 1.0","[[{'corpus_id': 17, 'score': 0.0856725424528122}]]",52
TypesCell (biology),html_like,1,"Index([15], dtype='int64')",[15],"precision: 1.0
recall: 1.0","[[{'corpus_id': 15, 'score': 0.1860811859369278}]]",52
USB power standards USB,html_like,1,"Index([24], dtype='int64')",[24],"precision: 1.0
recall: 1.0","[[{'corpus_id': 24, 'score': 0.1500304788351059}]]",52
